Time_s,CPU_Percent,Memory_MB,Method
0.001,0.0,35.66,Baseline
0.102,14.2,35.76,Baseline
0.203,0.0,35.76,Baseline
0.303,14.3,35.79,Baseline
0.404,0.0,35.79,Baseline
0.504,16.8,35.79,Baseline
0.605,0.0,35.79,Baseline
0.706,16.6,35.79,Baseline
0.806,0.0,35.79,Baseline
0.906,0.0,35.79,Baseline
1.007,0.0,35.79,Baseline
1.107,0.0,35.79,Baseline
1.208,0.0,35.79,Baseline
1.309,0.0,35.79,Baseline
1.409,49.9,51.43,Proposed
1.510,28.7,58.87,Proposed
1.611,0.0,58.87,Proposed
1.712,0.0,58.87,Proposed
1.812,0.0,58.87,Proposed
1.913,0.0,58.87,Proposed
2.013,0.0,58.87,Proposed
2.114,0.0,58.87,Proposed
2.214,0.0,58.87,Proposed
2.314,0.0,58.87,Proposed
2.415,14.3,37.58,Proposed
2.515,0.0,37.58,Proposed
2.616,0.0,37.58,Proposed
2.717,0.0,37.58,Proposed
2.817,0.0,37.58,Proposed
